Location,Status,Reviewer,Rating,Relative time,Scraping time,Review
Gaasperplas,official,Veronica De Langen,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Lucas Brandttt,4 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,George Kofi Hughes,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Avinaash Mahabiersing,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Iain Croll,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Alina Ulmeanu,5 stars,2 years ago,"2023-11-06,20:13:49","This place is like heaven on earth! I would spend hours watching the birds and feeling the breeze in my hair. Endless green fields, rabbits everywhere and nice people walking their dogs.."
Gaasperplas,official,Steven Daniels,5 stars,2 years ago,"2023-11-06,20:13:49",👍🏿👍🏿👍🏿 …
Gaasperplas,official,احمد المحمود,5 stars,2 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Mike Walsteijn,5 stars,2 years ago,"2023-11-06,20:13:49",Leuk park om met de hond te lopen
Gaasperplas,official,Krystian Dedyk,5 stars,2 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Reshmitha Jose,4 stars,2 years ago,"2023-11-06,20:13:49",A relatively unexplored spot to witness beautiful sunsets ❤️. The place also has a dog park with a tiny beach full of little paw impressions on the sand!
Gaasperplas,official,Kudakwashe Zimunya,4 stars,2 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Kim,4 stars,2 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Rene Kuijer,4 stars,2 years ago,"2023-11-06,20:13:49",Uitstekende duikplaats. Mooi onderwaterlandschap
Gaasperplas,official,Thomas Meijer,4 stars,2 years ago,"2023-11-06,20:13:49",Nice for a good walk.
Gaasperplas,official,Rii Jenkins,5 stars,2 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Masterbin pinguin,5 stars,2 years ago,"2023-11-06,20:13:49",Fresh area
Gaasperplas,official,Lea Lobbe,5 stars,2 years ago,"2023-11-06,20:13:49",Erg coronaproef
Gaasperplas,official,RUPAM BHATTACHARYA,5 stars,2 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,lenoor 9,3 stars,2 years ago,"2023-11-06,20:13:49",Verrassend
Gaasperplas,official,Esther Lof,4 stars,2 years ago,"2023-11-06,20:13:49","Mooie plas, mooi park om met mijn 2 Berners te lopen"
Gaasperplas,official,Roel Verwer,5 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Guillaumine bronne,5 stars,3 years ago,"2023-11-06,20:13:49","Love the nature. Gives a peaceful vibe, during summer you can go picnic there."
Gaasperplas,official,Beniamin Baczewski,5 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Mara Isaacson,4 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Maxwell Spaine,5 stars,3 years ago,"2023-11-06,20:13:49",Lovely walk.
Gaasperplas,official,raanan ziser,5 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Suzanne M,5 stars,3 years ago,"2023-11-06,20:13:49",Heerlijk rondje wandelen rondom de Gaasperplas (5km). Voor de hond zijn er 2 zwemstranden (1 klein en 1 groot) langs de route. Van 15 oktober t/m 15 april mag je overal los ook op de mensen stranden.
Gaasperplas,official,Aartie Birdja,4 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Lucia Rossel,5 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Lukas Fricke,5 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Vivien Fakhoury,5 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Lyd B,5 stars,3 years ago,"2023-11-06,20:13:49",NA
Gaasperplas,official,Jah Nico Rastafari Dubmus,5 stars,3 years ago,"2023-11-06,20:13:50",Amsterdams meertje
Gaasperplas,official,Laith,2 stars,3 years ago,"2023-11-06,20:13:50",Nice
Gaasperplas,official,Sven de Wildt,5 stars,3 years ago,"2023-11-06,20:13:50",Mooiste plekje Amsterdam
Gaasperplas,official,Mokum Dutchy,5 stars,3 years ago,"2023-11-06,20:13:50",Al meerdere keren deze plas in het rond gevaren op het Supboard.
Gaasperplas,official,Nuria Rosa Andreo,5 stars,3 years ago,"2023-11-06,20:13:50",Lugar muy agradable
Gaasperplas,official,Joris Does,4 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Miguel Cervera Lino,4 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Claudia Diana Schulz,5 stars,3 years ago,"2023-11-06,20:13:50",Zentrumsnah und doch herrlich ruhig
Gaasperplas,official,Irma Devos,5 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Li Ro,5 stars,3 years ago,"2023-11-06,20:13:50",Einfach toll zum Spazieren gehen. Campingplatz um die Ecke und S Bahn zum Zentrum Amsterdam ganz nah. Top für Seightseeing
Gaasperplas,official,Wessel Kooger,3 stars,3 years ago,"2023-11-06,20:13:50",Oke
Gaasperplas,official,James McMinn-Loughlin,3 stars,3 years ago,"2023-11-06,20:13:50",Lots of water...brings Ur trunks
Gaasperplas,official,Reynold Rudge,4 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Petra Audie (tante Mokkel),5 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,CEANTY Vincent van der Horst,5 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Lucia Van Kallen,5 stars,3 years ago,"2023-11-06,20:13:50","Gaasperplas is een openbare park waar de groten onder de raggea artisten als Morgan Heritage, Alborosie,Tarrus Riley, third world, Etana, Ziggy Marley, kimani Marley en nog vele anderen optreden.
In de zomer maanden is het elk jaar, een verrassing welke artiesten, door de organisatie van reggae lake festival, naar binnen gehaald worden. Klantvriendelijk. Gedeeltelijk rolstoelvriendelijk met begeleiding. Het is zeer druk.  Lange wachtrijen voor kaarten, gaat toch vlot, openbare toiletten aanwezig. Honden aan de lijn. Bussen 41, 44, eind halte metro 53. gaasperplas. Van uit Station Duivendrecht overstappen op de metro 54 richtig CS en overstappen aan de van der Made weg op de metro 53, richting gaasperplas eindhalte voor dit grote reggae festival twee dagen lang.👍💯☮"
Gaasperplas,official,Gerd De Smyter,5 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Eric Kensdell,5 stars,3 years ago,"2023-11-06,20:13:50",Place to be. Relaxe omgeving
Gaasperplas,official,Stef Cortie,4 stars,3 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,goodbobovibes,5 stars,3 years ago,"2023-11-06,20:13:50",Nickel
Gaasperplas,official,Andreas Kämmer,5 stars,4 years ago,"2023-11-06,20:13:50",Tolle Campingplatz und günstig.
Gaasperplas,official,Daniel Kutschera,5 stars,4 years ago,"2023-11-06,20:13:50","Perfekter Ort zum abhängen, nicht weit weg von Amsterdam. Wer mal aus der Stadt raus will ist hier genau richtig"
Gaasperplas,official,Jos van Beers,4 stars,4 years ago,"2023-11-06,20:13:50",Leuk duikstek heel afwisselend bodem
Gaasperplas,official,S Nahr,5 stars,4 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Amita Lakhotia,5 stars,4 years ago,"2023-11-06,20:13:50",Beautiful area with a lake in centre.. peaceful n relaxing place
Gaasperplas,official,Janish W,4 stars,4 years ago,"2023-11-06,20:13:50",NA
Gaasperplas,official,Roger Johansson,4 stars,4 years ago,"2023-11-06,20:13:50",Mycket bra camping för besök av Amsterdam. Nära till Metro.
Gaasperplas,official,anthony long,5 stars,4 years ago,"2023-11-06,20:13:51","Geweldige lokatie
Ben er geweest op het Reggae lake festival 24 /25 Aug 2019
Super locatie met goede OV verbinding
Parkeer gelegenheid in de buurt
Goede overnachtings gelegenheden in en rond om het park
Camping Gaasper par
Tulpin
En hotel gaasperplas campina-hotel

In een woord geweldig"
Gaasperplas,official,AMIR Around the Netherlands,2 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,michel langeveld,4 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,floris van dulmen,5 stars,4 years ago,"2023-11-06,20:13:51",Zwemmen
Gaasperplas,official,Leonel Cardoso,5 stars,4 years ago,"2023-11-06,20:13:51","Tasty, beautiful, and for free! XD"
Gaasperplas,official,Gaye Ah,4 stars,4 years ago,"2023-11-06,20:13:51",Très beau lieux calme
Gaasperplas,official,Kees Rijken,5 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Selda Baysan,5 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Michael Coyle,5 stars,4 years ago,"2023-11-06,20:13:51",Wonderful camping area not too far from the centre.
Gaasperplas,official,Mark Van de Velde,4 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Michiel Houdijk,5 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,frans bastiaens,5 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Helga Kommers,5 stars,4 years ago,"2023-11-06,20:13:51","Lekker wandelen,"
Gaasperplas,official,Birgit W (BitKloepplerin),5 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Samuel Lewis,4 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Claudia Rolando,4 stars,4 years ago,"2023-11-06,20:13:51",Nice park
Gaasperplas,official,Benjamin Italiaander,5 stars,4 years ago,"2023-11-06,20:13:51",Heel erg fijne plek
Gaasperplas,official,Fouad Sabag,5 stars,4 years ago,"2023-11-06,20:13:51",A great place to spend a picnic with family and friends
Gaasperplas,official,KAMAR AYASO,3 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Ebony Erica,4 stars,4 years ago,"2023-11-06,20:13:51","Very nice and big park, for fun and relaxing."
Gaasperplas,official,Jeremy B,4 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Pablo Ruim,5 stars,4 years ago,"2023-11-06,20:13:51","Pueblo o barrio muy tranquilo de Ámsterdam, llega el metro allí así que está bastante bien por si viajas a Ámsterdam y quieres más tranquilidad"
Gaasperplas,official,Saar Shnaider,5 stars,4 years ago,"2023-11-06,20:13:51",Great place to walk your dog!
Gaasperplas,official,Mr Varus,4 stars,4 years ago,"2023-11-06,20:13:51","A beautiful lake and surrounding woodland.But their are eastern Europeans living in those woods.And when they are drunk mostly in the evening,you should not go anywhere near that place.They are very aggressive."
Gaasperplas,official,Gijsbert,5 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Linda Vlaanderen,4 stars,4 years ago,"2023-11-06,20:13:51",Heerlijk wandelgebied met de honden
Gaasperplas,official,Guido Schabehorn,5 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,r p (xari),4 stars,4 years ago,"2023-11-06,20:13:51",NA
Gaasperplas,official,Adresso Herman,3 stars,4 years ago,"2023-11-06,20:13:52",A very beautiful park around a recreational lake in Amsterdam's South East area.
Gaasperplas,official,Charo Hana,5 stars,4 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Jorge Luis,3 stars,4 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,ASID and family (ASID),3 stars,4 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Patrick Smit,5 stars,5 years ago,"2023-11-06,20:13:52",Mooi stukje natuur in een drukke stad. Plek ook van Reggae Lake Festival!
Gaasperplas,official,Bob Rodenburg,3 stars,5 years ago,"2023-11-06,20:13:52",Niet erg groot maar leuk opgezet
Gaasperplas,official,Sujay Kumar,5 stars,5 years ago,"2023-11-06,20:13:52",Perplas
Gaasperplas,official,Tijmen van der Poel,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Stephanie Beyer,4 stars,5 years ago,"2023-11-06,20:13:52",Gute Parkmöglichkeit
Gaasperplas,official,Floor S,4 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Luca H,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Mike Wido,4 stars,5 years ago,"2023-11-06,20:13:52",Perfekt um dort zu wohnen und in die Stadt zu fahren
Gaasperplas,official,Maikel van Leeuwen,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Rob Van Den Hoven,5 stars,5 years ago,"2023-11-06,20:13:52",Hier kun je nog genieten van een stukje natuur en rust t.o. in de drukke stad.
Gaasperplas,official,Pavlos Diam,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Marijn Scheers,4 stars,5 years ago,"2023-11-06,20:13:52",Nice picnick place.
Gaasperplas,official,Baris Meurer,5 stars,5 years ago,"2023-11-06,20:13:52",Nice.
Gaasperplas,official,Cora Faber,4 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,H.H. Elenbaas,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,D de Bruin,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Diego,4 stars,5 years ago,"2023-11-06,20:13:52",Hele mooie plek om tot rust te komen of te barbecuen! Rustige plek zonder toeristen.
Gaasperplas,official,Remmelt Boermeester,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Sunny Kalyar,4 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Erika Pluhár,5 stars,5 years ago,"2023-11-06,20:13:52",Beautiful natural...... i love it
Gaasperplas,official,Jahla,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Tomáš Bánovský,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,A Bakr,3 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Vijay Kumar,4 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Mo Mo,5 stars,5 years ago,"2023-11-06,20:13:52",NA
Gaasperplas,official,Cédric MEYER,4 stars,5 years ago,"2023-11-06,20:13:53",NA
Gaasperplas,official,Joop Pol,4 stars,5 years ago,"2023-11-06,20:13:53",Mooi recreatie gebied
Gaasperplas,official,Luigi Mara,5 stars,5 years ago,"2023-11-06,20:13:53",NA
Gaasperplas,official,Ferenc Torma,4 stars,5 years ago,"2023-11-06,20:13:53",NA
Gaasperplas,official,Vasia Damilakou,4 stars,5 years ago,"2023-11-06,20:13:53",NA
Gaasperplas,official,Nance Moi,5 stars,6 years ago,"2023-11-06,20:13:53",Rustig mooie plaats om te wandelen en relaxen
Gaasperplas,official,Sébastien De Wolf,4 stars,6 years ago,"2023-11-06,20:13:53",NA
Gaasperplas,official,Monic,4 stars,6 years ago,"2023-11-06,20:13:53",Lekker op het hondenstrand geweest. De honden hebben lekker gespeeld en gezwommen.
Gaasperplas,official,Jakob Dietz,5 stars,6 years ago,"2023-11-06,20:13:53",NA
Gaasperplas,official,André Schlegel,5 stars,6 years ago,"2023-11-06,20:13:53","Naherholung am Rande von Amsterdam, Metro fährt direkt in die Amsterdamer City"
Gaasperplas,official,Kai Tomasberg,5 stars,7 years ago,"2023-11-06,20:13:53","Gaasperplas is a blue-green bubble of tranquillity with water as the central element. During the walk, the city feels far away but it isn't. Narrow white paths attract you with quiet corners and wooden benches. Beautiful nature to admire."
Gaasperplas strand,official,Aart Donker,4 stars,a month ago,"2023-11-06,20:14:17",NA
Gaasperplas strand,official,Ahmad Baniyassien,3 stars,3 months ago,"2023-11-06,20:14:17","Positive points:
Gaasperplas is  accessible by metro and public transport.
Nice place for families and for children from different age groups.

None positive points:
Water quality wasn’t that good during the last visit."
Gaasperplas strand,official,Judith Hoefnagel,5 stars,4 months ago,"2023-11-06,20:14:17",NA
Gaasperplas strand,official,K P,5 stars,4 months ago,"2023-11-06,20:14:17",NA
Gaasperplas strand,official,Antoon van Olderen,5 stars,5 months ago,"2023-11-06,20:14:17",NA
Gaasperplas strand,official,Prashant Choudhari,5 stars,a year ago,"2023-11-06,20:14:17",NA
Gaasperplas strand,official,Menno L,4 stars,a year ago,"2023-11-06,20:14:17",Leuk en vaak druk strandje om aan te liggen. Voornamelijk leuk met kinderen. Jammer dat er geen echte horeca aanwezig is. Helaas geen verlichting op de aanwezige wc’s in de avonduren. Een simpel solar lampje zou dit al oplossen.
Gaasperplas strand,official,Rein Molenmaker,5 stars,a year ago,"2023-11-06,20:14:18",Geweldig  mooi voor kinderen
Gaasperplas strand,official,Oliver Speder,5 stars,a year ago,"2023-11-06,20:14:18",Nett und kostenlos
Gaasperplas strand,official,Louise Santos,5 stars,a year ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Rein Molenmaker,5 stars,a year ago,"2023-11-06,20:14:18",Heel mooi ook voor volwassenen.
Gaasperplas strand,official,Petra Wurzel,4 stars,a year ago,"2023-11-06,20:14:18",Mit dem Rad gut zu umfahren. Der Strand dürfte gepflegter sein.
Gaasperplas strand,official,Gerard Biesot,5 stars,a year ago,"2023-11-06,20:14:18","Wat wen verademing onder de ""rook"" v d stad"
Gaasperplas strand,official,Ramon van der Werf,4 stars,a year ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Jürgen Klaus,5 stars,a year ago,"2023-11-06,20:14:18",Schön und Ruhi
Gaasperplas strand,official,Rūta Griniūtė,5 stars,a year ago,"2023-11-06,20:14:18",Beautiful place for walks 💕 …
Gaasperplas strand,official,Daphne van der Woude,5 stars,a year ago,"2023-11-06,20:14:18",Lovely place to come relax by the water. Lots of things to do for kids and for adults to get some sunshine. Definitely a good place to go to on a sunny day.
Gaasperplas strand,official,Jelena Jsp,4 stars,a year ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Clara Favero,4 stars,a year ago,"2023-11-06,20:14:18","Noce one especially in summer. Small, best for children"
Gaasperplas strand,official,Sick MoFro,4 stars,2 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Omri Raviv,5 stars,2 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Mar H.,5 stars,2 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Lyd B,5 stars,2 years ago,"2023-11-06,20:14:18",Gewoon heerlijk en natuurlijk
Gaasperplas strand,official,Basem Alali,5 stars,2 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Krystian Dedyk,5 stars,2 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Gourav Sinha,4 stars,2 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Sara Silva,5 stars,2 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Vincent Van Hussen,4 stars,2 years ago,"2023-11-06,20:14:18",Gezellig!!!!!
Gaasperplas strand,official,Māris Stepānovs,5 stars,3 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Caitlin Van Toor,3 stars,3 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Nicole L.,5 stars,3 years ago,"2023-11-06,20:14:18",Super schöner Strand
Gaasperplas strand,official,Mama Miaa,5 stars,3 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Mr. Schutt,5 stars,3 years ago,"2023-11-06,20:14:18","Super mooi &  mega groot natuurgebied!
Zwemmen spelen strand ligweide speeltuin glijbaan BBQ feest
Echt de moeite waard om een x naar toe te gaan,met het hele gezin een dagje uit"
Gaasperplas strand,official,Giusy Cattogno,5 stars,3 years ago,"2023-11-06,20:14:18",NA
Gaasperplas strand,official,Jan Herke,5 stars,3 years ago,"2023-11-06,20:14:19",NA
Gaasperplas strand,official,Tibor van den Brink,5 stars,4 years ago,"2023-11-06,20:14:19",NA
Gaasperplas strand,official,Tom Wilke,5 stars,5 years ago,"2023-11-06,20:14:19","I enjoy swimming here, the water is clean and has space in nature"
Gaasperplas strand,official,Gilian van Neck,4 stars,6 years ago,"2023-11-06,20:14:19","Heel leuk strand, maar jammer dat je er vanaf 1 april t/m 1 oktober niet met de honden mag komen!!"
Gaasperplas strand,official,Sheila S,4 stars,6 years ago,"2023-11-06,20:14:19",NA
